temperature,humidity,wind_speed,pressure,cloud_cover,rain
40.2,60,25.0,991.6,61,0
-8.3,37,41.7,999.8,88,0
9.3,58,20.5,995.8,58,0
36.4,46,16.5,989.0,94,0
28.8,84,28.9,1012.4,19,0
38.9,68,1.4,977.1,11,0
1.9,28,30.5,1033.1,47,0
34.7,39,15.1,1008.3,29,0
2.9,33,17.0,1001.0,31,0
-8.4,92,43.7,986.7,33,1
-6.7,85,16.2,975.8,72,1
10.7,96,1.5,961.7,35,0
10.7,28,21.2,1030.5,65,0
15.5,93,40.3,991.0,78,1
22.4,81,40.4,1041.2,2,0
4.3,75,33.6,1019.5,89,0
38.2,74,2.9,972.1,3,0
-2.9,99,4.6,994.6,23,0
38.3,48,42.5,1033.7,80,0
8.8,51,44.3,1046.1,70,0
40.5,60,36.9,982.6,12,0
12.6,28,24.4,966.6,79,0
-2.1,75,0.7,952.3,35,1
37.8,23,2.6,975.6,75,0
31.6,69,35.5,1021.4,10,0
43.5,20,19.4,992.7,56,0
6.7,34,26.7,969.6,58,0
26.9,14,4.9,1009.8,26,0
3.2,18,19.2,987.9,17,0
25.3,19,46.5,1004.1,97,0
1.7,81,41.2,1043.7,82,1
12.4,51,28.5,1004.0,96,0
5.6,76,1.4,1020.3,19,0
12.5,83,40.3,994.1,72,1
26.9,25,42.6,972.0,62,0
-8.4,68,41.1,963.0,71,0
-9.3,30,39.5,1030.6,82,0
33.2,67,1.3,964.3,5,0
0.1,81,47.8,952.0,96,1
-8.2,69,4.3,950.1,85,0
33.4,97,8.5,988.0,69,1
6.1,92,33.6,1037.1,0,0
31.1,79,15.1,1015.5,30,0
-9.7,38,4.1,1043.7,22,0
11.3,88,41.2,1002.4,65,1
-3.7,82,27.3,1043.2,92,1
-9.2,33,8.6,1019.3,89,0
31.6,45,24.7,952.9,76,0
-4.5,65,23.4,1031.2,69,0
37.0,88,34.0,994.3,98,1
19.6,14,38.9,953.5,31,0
-9.8,12,14.7,974.7,13,0
38.3,20,25.9,1022.9,5,0
7.4,53,6.9,1037.2,76,0
-3.0,64,28.8,970.9,35,0
-5.2,70,33.1,983.6,100,0
